Price,Title,RAM,Hard Drive,Graphics Coprocessor,Number of USB 3.0 Ports,Brand,Series,Operating System,Processor Brand,Item model number,Graphics Card Ram Size,Manufacturer,Form Factor,Processor Type,Processor Speed,Memory Technology,Hard Disk Description,Graphics Chipset Brand,DisplaySizeInches,HorizontalPixels,VerticalPixels,WeightKg,Refurbished,base_color
1073.04,"Acer Nitro 5 AN515-58-57Y8 Gaming Laptop | Intel Core i5-12500H | NVIDIA GeForce RTX 3050 Ti Laptop GPU | 15.6"" FHD 144Hz IPS Display | 16GB DDR4 | 512GB Gen 4 SSD | Killer Wi-Fi 6 | Backlit Keyboard",16 GB DDR4,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4,acer,AN515-58-57Y8,Windows 11 Home,Intel,NH.QFLAA.002,4 GB,Acer,Gaming Laptop,Intel Core i5,5,ddr4,SSD,Intel,15.6,1920,1080,2.4992919199999997,0,other
323.57120000000003,"Lenovo Newest Flagship Chromebook, 14'' FHD Touchscreen Slim Thin Light Laptop Computer, 8-Core MediaTek Kompanio 520 Processor, 4GB RAM, 64GB eMMC, WiFi 6,Chrome OS+HubxcelAccesory, Abyss Blue",4 GB DDR4,64 GB Emmc,Integrated ARM Mali-G52 2EE MC2 GPU,2,Lenovo,Newest Flagship Lenovo Chromebook,Chrome OS,MediaTek,Newest Flagship Lenovo Chromebook,4 GB,Lenovo,Chromebook,MediaTek Kompanio 520,2 GHz,other,eMMC,MediaTek,14.0,1920,1080,1.2972731199999998,0,Blue
270.64000000000004,"Acer Chromebook Spin 311 Convertible Laptop, Intel Celeron N4020, 11.6"" HD Touch, 4GB LPDDR4, 32GB eMMC, Gigabit Wi-Fi 5, Bluetooth 5.0, Google Chrome, CP311-2H-C679",4 GB LPDDR4,32 GB Embedded MultiMediaCard,Intel UHD Graphics 600,2,acer,Chromebook Spin 311,Chrome OS,Intel,CP311-2H-C679,4 GB,Acer,Chromebook,Celeron,5,other,eMMC,Intel,11.6,1366,768,1.2020188,0,other
1087.9864,"ASUS ROG Strix G15 (2022) Gaming Laptop, 15” 16:10 FHD 144Hz, GeForce RTX 3050, AMD Ryzen™ 7 6800H/HS, 16GB DDR5, 512GB PCIe SSD, Wi-Fi 6E, Windows 11, G513RC-ES73, Eclipse Gray",16 GB DDR5,512 GB SSD,NVIDIA GeForce RTX 3050,2,ASUS,ROG Strix G15,Windows 11 Home,AMD,G513RC-ES73,4 GB,ASUS,Gaming Laptop,ryzen_7,4.7 GHz,ddr5,SSD,AMD,15.6,1920,1080,3.94171448,0,Gray
724.7168,"HP 17 Business Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Pro, Silver",32 GB DDR4,1 TB SSD,Intel UHD Graphics,0,HP,TPN-I139_320M3AV,Windows 11 Pro,Intel,TPN-I139_320M3AV,32 GB,HP,Laptop,Intel Core i3,3,other,SSD,Intel,17.3,1600,900,2.0865232,0,Silver
671.84,"Dell Inspiron 15 3000 3520 Business Laptop Computer[Windows 11 Pro], 15.6'' FHD Touchscreen, 11th Gen Intel Quad-Core i5-1135G7, 16GB RAM, 1TB PCIe SSD, Numeric Keypad, Wi-Fi, Webcam, HDMI, Black",16 GB DDR4,1 TB SSD,Intel UHD Graphics,1,Dell,Dell Inspiron,Windows 11 Pro,Intel,Dell Laptop,16 GB,Dell,Laptop,Quad-Core,4.2 GHz,other,SSD,Intel,15.6,1920,1080,1.73272144,0,Black
1903.9864,"Lenovo ThinkPad X1 Carbon Gen 11 21HM002DUS Black Laptop, i7-1355U, 16GB, 512GB PCIe SSD, 14.0"" IPS Touch Wide UXGA (1920x1200), Intel Iris Xe, Windows 11 Pro",16 LPDDR4X,512 GB SSD,Intel Xe,3,Lenovo,X1 Carbon Gen 11,Windows 11 Pro,Intel,21HM,16 GB,Lenovo,Laptop,apple_ci7,4.7 GHz,other,SSD,Intel,14.0,1920,1080,0.6350288,0,Carbon
692.24,"Lenovo V15 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U Hexa-core Processor (Beat Intel i7-1065G7), 16GB RAM, 1TB SSD, HDMI, RJ45, Numeric Keypad, Wi-Fi, Windows 11 Pro, Black",16 GB DDR4,1 TB SSD,AMD Radeon Graphics,1,Lenovo,Lenovo V15 G2 ALC,Windows 11 Pro,AMD,Lenovo V15 G2 ALC,6 GB,Lenovo,Laptop,AMD Ryzen 5 5500U,5,other,SSD,AMD,15.6,1920,1080,1.7009699999999999,0,Black
318.92,"HP 2023 15'' HD IPS Laptop, Windows 11, Intel Pentium 4-Core Processor Up to 2.70GHz, 8GB RAM, 128GB SSD, HDMI, Super-Fast 6th Gen WiFi, Dale Red (Renewed)",8 GB DDR4,128 GB SSD,Intel,3,HP,"HP 15"" Laptop",Windows 11,Intel,"HP 15"" Laptop",8 GB,HP,Laptop,Pentium,4,other,SSD,Intel,15.0,1366,768,0.0180019325,1,Red
2680.7504000000004,"ASUS ROG Strix G16 (2023) Gaming Laptop, 16” 16:10 FHD 165Hz, GeForce RTX 4070, Intel Core i9-13980HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JI-AS94, Eclipse Gray",16 GB DDR5,1 TB SSD,NVIDIA GeForce RTX 4070,2,ASUS,ROG Strix G16,Windows 11 Home,Intel,G614JI-AS94,6 GB,ASUS,Gaming Laptop,Intel Core i9,5.6 GHz,ddr5,SSD,Intel,16.0,1920,1200,3.175144,0,Gray
