,Price,Title,Hard Drive,Number of USB 3.0 Ports,Brand,Series,Processor Brand,Item model number,Memory Technology,Hard Disk Description,Graphics Chipset Brand,DisplaySizeInches,HorizontalPixels,VerticalPixels,WeightKg,Refurbished,base_color,RAM_in_GB,Graphics_Coprocessor_Brand,OS_Name,MANU_Name,Graphics Storage (GB),Laptop_Type,ProcessorManufacturer,ProcessorSpeedGHz,HDD_NEW,SSD_NEW,Hybrid_NEW,Flash_Storage_NEW
23,1122.0,"Apple 2022 MacBook Air M2 Chip (13-inch, 8GB RAM, 256GB SSD Storage) (QWERTY English) Midnight (Renewed Premium)",256  SSD,1,Apple,MacBoo Air,Other,MLY33LL/A,other,SSD,Other,13.0,2560.0,1600.0,2.28610368,1,other,16.0,Apple,Mac,Other,24,Laptop,Other,3.2,0,0,0,0
24,530.3864000000001,"OTVOC Laptop 16 inch Windows 11 Pro, VocBook 16, Intel 12th Gen N95, Up to 3.4GHz, 16GB DDR5 RAM, 1TB PCIE NVME SSD, 16"" FHD IPS 1920x1200, 2.0MP, 2.4G+5G WiFi, BT 5.0, HDMI, RJ45, Type C, Gray",1 000 SSD,3,OTVOC,VocBook 16,Intel,VocBook 16,ddr5,SSD,Intel,16.0,1920.0,1200.0,2.60361808,0,Gray,16.0,Intel,Windows,Other,2,Laptop,Other,3.0,0,0,0,0
25,503.1864000000001,"Morostron 15.6"" Full Metal Laptop Intel Quad-Core Processor, 16GB LPDDR4 RAM 256GB SSD and 1080P FHD IPS, Windows 11 Laptop Computer with Backlit Keyboard and Finger Print Touch ID, AC WiFi,Gray",256  SSD,0,Morostron,LeadBook T7 PRO,Intel,LeadBook T7 PRO,other,SSD,Intel,15.6,1920.0,1080.0,1.6782904,0,Gray,16.0,Intel,Windows,Other,16,Laptop,Other,3.0,0,0,0,0
26,380.7864,"Laptop Computer, 15.6"" Laptop, 16GB RAM 512GB ROM, Intel Celeron Quad-Core Processors, 1920 x 1080 IPS FHD, 38000mWh Battery, WiFi, Bluetooth, Type-C, TF Card, Mini-HDMI",512  SSD,0,ANMESC,ANLT1504,Intel,Laptop,other,Other,Intel,15.6,1920.0,1080.0,1.64653896,0,other,16.0,Intel,Windows,Other,6,Laptop,Other,2.9,0,0,0,0
27,244.1744,"14'' Laptop 8GB DDR4 512GB SSD, Intel Celeron N4000 Processors Laptop Computer, Windows 11 1080P IPS FHD Display Laptop Computer,Numeric Keypad USB 3.0, Bluetooth 4.2, 2.4/5G WiFi",512  SSD,0,TUHUI,N4000,Intel,N4000,ddr4,SSD,Intel,14.0,1920.0,1080.0,1.78715248,0,other,16.0,Intel,Windows,Other,4,Laptop,Other,3.0,0,0,0,0
28,814.6400000000001,"HP 17 Laptop i5-1235U, 512 GB SSD, 16GB RAM, 17.3"" HD+ Touchscreen, Win 11 Home Plus, 3 Cell, Silver Color, 64 GB Tech Warehouse Flashdrive",512  SSD,2,HP,HP 17T,Intel,HP,other,SSD,Other,17.3,1600.0,900.0,2.381358,0,Silver,16.0,Intel,Windows,hp,512,Laptop,Other,3.0,0,0,0,0
29,883.9864000000001,"SGIN Laptops, Laptop 17 Inch, 4GB DDR4 128GB SSD Laptops Computer with Intel Core i3 Processor (up to 2.4 GHz), 60800mWh Long Battery, Webcam, Mini HDMI, USB3.2 * 2, Dual WiFi, Type-C, (Black)",128  SSD,0,SGIN,Laptop,Intel,M17S,ddr4,SSD,Intel,17.3,1366.0,768.0,1.84611944,0,Black,4.0,Intel,Other,Other,2,Laptop,Intel I3,2.4,0,0,0,0
30,1767.9864000000002,"16 inch Laptop, 16GB DDR4 512GB SSD, Intel Quad-Core N95 Processor (up to 3.4Ghz) Windows 11 Pro, Laptop Computer with Metal Body Support 16:10 1080P, 2.4/5G WiFi, Bluetooth 4.2, Full-Function Type-C",512  SSD,3,XKMURT,N16,Intel,Laptop,ddr4,SSD,Intel,16.0,1920.0,1200.0,1.93683784,0,other,16.0,Intel,Windows,Other,2,Laptop,Other,3.0,0,0,0,0
31,1316.4392,"Acer Predator Triton 14 Gaming/Creator Laptop | 13th Gen Intel i7-13700H | NVIDIA GeForce RTX 4050 | 14"" WUXGA 165Hz G-SYNC Display | 16GB LPDDR5 | 512GB PCIe Gen 4 SSD | Killer WiFi 6E | PT14-51-78B4",512  SSD,3,acer,PT14-51-78B4,Intel,NH.QLNAA.001,other,SSD,Intel,14.0,1920.0,1200.0,1.70097,0,other,16.0,NVIDIA,Windows,acer,6,Gaming,Other,4.0,0,0,0,0
32,406.64,"2017 Apple Macbook Air with 1.8GHz Intel Core i5 (13-inch, 8GB RAM, 128GB SSD Storage) (QWERTY English) Silver (Renewed)",128 ,0,Apple,MacBook Air,Intel,MQD32LL/A,other,SSD,Intel,13.3,1366.0,768.0,1.360776,1,Silver,8.0,Intel,Mac,Other,1,Laptop,Intel I5,1.8,0,0,0,0
33,1073.04,"Acer Nitro 5 AN515-58-57Y8 Gaming Laptop | Intel Core i5-12500H | NVIDIA GeForce RTX 3050 Ti Laptop GPU | 15.6"" FHD 144Hz IPS Display | 16GB DDR4 | 512GB Gen 4 SSD | Killer Wi-Fi 6 | Backlit Keyboard",512  SSD,4,acer,AN515-58-57Y8,Intel,NH.QFLAA.002,ddr4,SSD,Intel,15.6,1920.0,1080.0,2.49929192,0,other,16.0,NVIDIA,Windows,acer,4,Gaming,Intel I5,5.0,0,0,0,0
34,323.57120000000003,"Lenovo Newest Flagship Chromebook, 14'' FHD Touchscreen Slim Thin Light Laptop Computer, 8-Core MediaTek Kompanio 520 Processor, 4GB RAM, 64GB eMMC, WiFi 6,Chrome OS+HubxcelAccesory, Abyss Blue",64  Emmc,2,Lenovo,Newest Flagship Lenovo Chromebook,Other,Newest Flagship Lenovo Chromebook,other,Other,MediaTek,14.0,1920.0,1080.0,1.2972731199999998,0,Blue,4.0,Intel,Other,lenovo,4,Chromebook,Other,2.0,0,0,0,0
