Price,Title,Brand,Processor Brand,Memory Technology,Hard Disk Description,DisplaySizeInches,HorizontalPixels,VerticalPixels,WeightKg,Refurbished,base_color,RAM_in_GB,Graphics_Coprocessor_Brand,OS_Name,Graphics Storage (GB),Laptop_Type,ProcessorManufacturer,ProcessorSpeedGHz,PPI
1073,"Acer Nitro 5 AN515-58-57Y8 Gaming Laptop | Intel Core i5-12500H | NVIDIA GeForce RTX 3050 Ti Laptop GPU | 15.6"" FHD 144Hz IPS Display | 16GB DDR4 | 512GB Gen 4 SSD | Killer Wi-Fi 6 | Backlit Keyboard",acer,Intel,ddr4,SSD,15.6,1920.0,1080.0,2.49929192,0,other,16,NVIDIA,Windows,4,Gaming,Intel I5,5.0,141.21199808219862
324,"Lenovo Newest Flagship Chromebook, 14'' FHD Touchscreen Slim Thin Light Laptop Computer, 8-Core MediaTek Kompanio 520 Processor, 4GB RAM, 64GB eMMC, WiFi 6,Chrome OS+HubxcelAccesory, Abyss Blue",lenovo,Other,other,Other,14.0,1920.0,1080.0,1.2972731199999998,0,Blue,4,Intel,Other,4,Chromebook,Other,2.0,157.3505121487356
271,"Acer Chromebook Spin 311 Convertible Laptop, Intel Celeron N4020, 11.6"" HD Touch, 4GB LPDDR4, 32GB eMMC, Gigabit Wi-Fi 5, Bluetooth 5.0, Google Chrome, CP311-2H-C679",acer,Intel,other,Other,11.6,1366.0,768.0,1.2020188,0,other,4,Intel,Other,4,Chromebook,Other,5.0,135.0942111925629
1088,"ASUS ROG Strix G15 (2022) Gaming Laptop, 15” 16:10 FHD 144Hz, GeForce RTX 3050, AMD Ryzen™ 7 6800H/HS, 16GB DDR5, 512GB PCIe SSD, Wi-Fi 6E, Windows 11, G513RC-ES73, Eclipse Gray",asus,AMD,ddr5,SSD,15.6,1920.0,1080.0,3.94171448,0,Gray,16,NVIDIA,Windows,4,Gaming,Other,4.7,141.21199808219862
725,"HP 17 Business Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Pro, Silver",hp,Intel,other,SSD,17.3,1600.0,900.0,2.0865232,0,Silver,32,Intel,Windows,32,Laptop,Intel I3,3.0,106.11306214269258
672,"Dell Inspiron 15 3000 3520 Business Laptop Computer[Windows 11 Pro], 15.6'' FHD Touchscreen, 11th Gen Intel Quad-Core i5-1135G7, 16GB RAM, 1TB PCIe SSD, Numeric Keypad, Wi-Fi, Webcam, HDMI, Black",dell,Intel,other,SSD,15.6,1920.0,1080.0,1.73272144,0,Black,16,Intel,Windows,16,Laptop,Other,4.2,141.21199808219862
1904,"Lenovo ThinkPad X1 Carbon Gen 11 21HM002DUS Black Laptop, i7-1355U, 16GB, 512GB PCIe SSD, 14.0"" IPS Touch Wide UXGA (1920x1200), Intel Iris Xe, Windows 11 Pro",lenovo,Intel,other,SSD,14.0,1920.0,1080.0,0.6350288,0,Carbon,16,Intel,Windows,16,Laptop,Other,4.7,157.3505121487356
692,"Lenovo V15 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U Hexa-core Processor (Beat Intel i7-1065G7), 16GB RAM, 1TB SSD, HDMI, RJ45, Numeric Keypad, Wi-Fi, Windows 11 Pro, Black",lenovo,AMD,other,SSD,15.6,1920.0,1080.0,1.70097,0,Black,16,AMD,Windows,6,Laptop,AMD RYZEN 5,5.0,141.21199808219862
319,"HP 2023 15'' HD IPS Laptop, Windows 11, Intel Pentium 4-Core Processor Up to 2.70GHz, 8GB RAM, 128GB SSD, HDMI, Super-Fast 6th Gen WiFi, Dale Red (Renewed)",hp,Intel,other,SSD,15.0,1366.0,768.0,0.0180019325,1,Red,8,Intel,Windows,8,Laptop,Other,4.0,104.47285665558198
2681,"ASUS ROG Strix G16 (2023) Gaming Laptop, 16” 16:10 FHD 165Hz, GeForce RTX 4070, Intel Core i9-13980HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JI-AS94, Eclipse Gray",asus,Intel,ddr5,SSD,16.0,1920.0,1200.0,3.175144,0,Gray,16,NVIDIA,Windows,6,Gaming,Intel I9,5.6,141.50971698084905
272,"Laptop Computer,8GB RAM 256GB SSD, Intel Celeron Processor, Laptop Computers with 1366 * 768 IPS Display,2.4/5G WiFi, Bluetooth, Type-C, TF Card, 2MP Webcam",ugrihach,Intel,other,SSD,15.6,1366.0,768.0,1.65107488,0,other,16,Intel,Other,2,Laptop,Other,2.4,100.45466986113651
503,"Morostron 15.6"" Full Metal Laptop Intel Quad-Core Processor, 16GB LPDDR4 RAM 256GB SSD and 1080P FHD IPS, Windows 11 Laptop Computer with Backlit Keyboard and Finger Print Touch ID, AC WiFi,Gray",morostron,Intel,other,SSD,15.6,1920.0,1080.0,1.6782904,0,Gray,16,Intel,Windows,16,Laptop,Other,3.0,141.21199808219862
381,"Laptop Computer, 15.6"" Laptop, 16GB RAM 512GB ROM, Intel Celeron Quad-Core Processors, Laptop Computers with 1080P FHD, 38000mWh Battery, WiFi, Bluetooth, Type-C, TF Card",anmesc,Intel,other,Other,15.6,1920.0,1080.0,2.27703184,0,other,16,Intel,Windows,32,Laptop,Other,2.9,141.21199808219862
570,"LENOVO IdeaPad 1 Laptop, 15.6” FHD Display, Intel Celeron N4500 Processor, 20GB RAM, 1TB SSD, SD Card Reader, Numeric Keypad, HDMI, Wi-Fi 6, Windows 11 Home, 1 Year Office 365, Grey",lenovo,Intel,other,SSD,15.6,1920.0,1080.0,1.57850016,0,Grey,20,Intel,Windows,1,Laptop,Other,2.8,141.21199808219862
1409,"Dell Inspiron 16 5630 Laptop - Intel Core i7-1360P, 16-inch 16:10 FHD+ Display, 16GB LPDDR5 RAM, 1TB SSD, Intel Iris Xe Graphics, Windows 11 Pro, Services Included - Platinum Silver",dell,Intel,other,SSD,16.0,1920.0,1200.0,1.94137376,0,Platinum,1,Intel,Windows,6,Laptop,Intel I7,5.0,141.50971698084905
1734,"Late 2021 Apple MacBook Pro with Apple M1 Pro chip (16-inch, 16GB RAM, 512GB SSD) Space Gray (Renewed)",apple,Other,other,SSD,16.2,3456.0,2234.0,3.10256928,1,Gray,16,Apple,Mac,6,Laptop,Other,3.1,254.0233485458816
547,"2019 Apple MacBook Air with 1.6GHz Intel Core i5 (13-inch, 8GB RAM, 128GB SSD Storage) Space Gray (Renewed)",apple,Intel,other,SSD,13.3,2560.0,1600.0,1.59664384,1,Gray,8,Intel,Mac,1,Laptop,Intel I5,1.6,226.98300468106115
1904,"ASUS ROG Strix G16 (2024) Gaming Laptop, 16” 16:10 FHD 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74",asus,Intel,ddr5,SSD,16.0,1366.0,768.0,4.63117432,0,other,16,NVIDIA,Windows,6,Gaming,Intel I7,4.9,97.9433031146081
680,"Lenovo Newest V15 Series Laptop, 24GB RAM, 1TB SSD Storage 15.6″ FHD Display with Low-Blue Light, Intel 4-Cores Upto 3.3Ghz Processor, HDMI, Ethernet Port, WiFi & Bluetooth, Windows 11 Home",lenovo,Intel,other,SSD,15.0,1920.0,1080.0,1.70097,0,Blue,24,Intel,Windows,6,Laptop,Other,4.0,146.86047800548656
642,"2019 Apple MacBook Pro with 1.4GHz Intel Core i5 (13 inch, 8GB RAM, 128GB SSD) - Space Gray (Renewed)",apple,Other,other,SSD,13.3,1366.0,768.0,1.34263232,1,Gray,8,Intel,Mac,1,Laptop,Intel I5,1.4,117.82653006268643
557,"Dell Newest Inspiron 15 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 12GB RAM, 256GB PCIe NVMe M.2 SSD, SD Card Reader, Webcam, HDMI, WiFi, Windows 11 Home, Black",dell,Intel,other,SSD,15.6,1920.0,1080.0,1.6964340800000002,0,Black,12,Intel,Windows,12,Laptop,Intel I5,1.0,141.21199808219862
72,"Dell 11'' HD IPS Chromebook, Intel Celeron Processor Up to 2.40GHz, 4GB Ram, 16GB SSD, Super-Fast WiFi, Chrome OS, Dale Black (Renewed)",dell,Intel,other,SSD,11.0,1366.0,768.0,1.87333496,1,Black,4,Intel,Other,4,Chromebook,Other,2.4,142.46298634852087
110,"Lenovo 11.6"" 300e Chromebook Touchscreen LCD 2 in 1- MediaTek M8173C Quad-core 2.1GHz 4GB LPDDR3 32GB Flash Memory Chrome OS Model 81H00000US (Renewed)",lenovo,Other,other,Other,11.6,1366.0,768.0,1.360776,1,other,4,Other,Other,4,Chromebook,Other,2.1,135.0942111925629
993,"2020 Apple MacBook Pro with Apple M1 Chip (13-inch, 8GB RAM, 256GB SSD Storage) Space Gray (Renewed)",apple,Other,other,SSD,13.3,2560.0,1600.0,1.360776,1,Gray,8,Other,Mac,6,Laptop,Other,3.1,226.98300468106115
407,"Lenovo IdeaPad 1 Student Laptop, 15.6"" FHD Display, Intel Dual Core Processor, 8GB RAM, 128GB SSD + 128GB eMMC, Wi-Fi 6, Webcam, Bluetooth, 1 Year Office 365, Windows 11 Home, Grey",lenovo,Intel,other,SSD,15.6,1920.0,1080.0,1.55128464,0,Grey,8,Intel,Windows,1,Laptop,Other,2.8,141.21199808219862
367,"Laptop Computer, Traditional Laptop Computer, 16GB DDR4 512GB SSD, Intel Celeron Quad-Core Processors, 15.6"" 1080P FHD Laptops, 38000mWh Battery, WiFi, Type-C, TF Card, Mini-HDMI",maypug,Intel,ddr4,SSD,15.6,1920.0,1080.0,1.64653896,0,other,15,Intel,Other,6,Laptop,Other,2.9,141.21199808219862
381,"Laptop Computer, 15.6"" Laptop, 16GB RAM 512GB ROM, Intel Celeron Quad-Core Processors, 1920 x 1080 IPS FHD, 38000mWh Battery, WiFi, Bluetooth, Type-C, TF Card, Mini-HDMI",anmesc,Intel,other,Other,15.6,1920.0,1080.0,1.64653896,0,other,16,Intel,Windows,6,Laptop,Other,2.9,141.21199808219862
322,"Dell Latitude 5400 Business Laptop with Backlit Keyboard, 14"" FHD(1920x 1080) Laptop, Intel Core i5-8365U up to 4.1GHz, 16GB DDR4 RAM, 512GB SSD, Wi-Fi, Webcam, Windows 10 Pro (Renewed)",dell,Intel,ddr4,SSD,14.0,1920.0,1080.0,2.53557928,1,other,16,Intel,Windows,4,Laptop,Intel I5,4.0,157.3505121487356
815,"HP 17 Laptop i5-1235U, 512 GB SSD, 16GB RAM, 17.3"" HD+ Touchscreen, Win 11 Home Plus, 3 Cell, Silver Color, 64 GB Tech Warehouse Flashdrive",hp,Intel,other,SSD,17.3,1600.0,900.0,2.381358,0,Silver,16,Intel,Windows,512,Laptop,Other,3.0,106.11306214269258
272,"Laptop Computer,8GB RAM 256GB SSD, Intel Celeron Processor, Laptop Computers with 1366 * 768 IPS Display,2.4/5G WiFi, Bluetooth, Type-C, TF Card, 2MP Webcam",ugrihach,Intel,other,SSD,15.6,1366.0,768.0,1.65107488,0,other,16,Intel,Other,2,Laptop,Other,2.4,100.45466986113651
884,"SGIN Laptops, Laptop 17 Inch, 4GB DDR4 128GB SSD Laptops Computer with Intel Core i3 Processor (up to 2.4 GHz), 60800mWh Long Battery, Webcam, Mini HDMI, USB3.2 * 2, Dual WiFi, Type-C, (Black)",sgin,Intel,ddr4,SSD,17.3,1366.0,768.0,1.84611944,0,Black,4,Intel,Other,2,Laptop,Intel I3,2.4,90.58340172449303
466,"Lenovo IdeaPad 1 – AMD Ryzen5-5500U – 15.6"" Full HD (1920x1080) – 8GB Memory – 512GB SSD Storage – Windows 11 - Cloud Grey – (2023 Model)",lenovo,AMD,other,SSD,15.6,1920.0,1080.0,1.59664384,0,Grey,16,Intel,Windows,1,Laptop,Other,2.1,141.21199808219862
446,"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond",lenovo,Intel,ddr4,SSD,15.6,1366.0,768.0,1.84611944,0,other,8,Intel,Windows,8,Laptop,Intel I3,3.0,100.45466986113651
504,"Apple MacBook Air (13-inch Retina display, 1.6GHz dual-core Intel Core i5, 128GB) - Space Gray (Renewed)",apple,Intel,other,Other,13.3,2560.0,1600.0,1.19748288,1,Gray,8,Intel,Other,1,Other,Other,1.7,226.98300468106115
626,"Early 2020 Apple MacBook Air with 1.1GHz Intel Core i3 (13-inch, 8GB RAM, 256GB SSD Storage) (QWERTY English) Space Gray (Renewed)",apple,Intel,other,SSD,13.0,2560.0,1600.0,1.63746712,1,Gray,8,Intel,Mac,1,Laptop,Intel I3,1.1,232.22107401985488
223,"HP Newest 14"" HD Laptop, Windows 11, Intel Celeron Dual-Core Processor Up to 2.60GHz, 4GB RAM, 64GB SSD, Webcam, Dale Pink(Renewed) (Dale Pink)",hp,Intel,other,SSD,14.0,1366.0,768.0,2.0184844,1,Pink,4,Intel,Windows,4,Laptop,Other,2.6,111.93520355955211
224,"HP Portable 13.8"" HD IPS Laptop, Intel Celeron N Processor Up to 2.78GHz, 4GB DDR4, 64GB SSD, HDMI, RJ45, Webcam, Bluetooth, Windows 11, Pastel Pink(Renewed)",hp,Intel,ddr4,SSD,13.8,1366.0,768.0,1.9958048,1,Pink,4,Intel,Windows,8,Laptop,Other,2.78,113.55745288650213
543,"Lenovo Newest 15.6"" FHD Laptop, Intel Pentium N6000 Quad-core Processor, 16GB Memory, 1TB SSD Storage, Ethernet Port, HDMI, USB-C, WiFi & Bluetooth, Windows 11 Home, WOWPC USB Bundle",lenovo,Intel,other,SSD,15.6,1920.0,1080.0,1.70097,0,other,16,Intel,Windows,6,Laptop,Other,3.3,141.21199808219862
774,"Laptop Computer, 16GB DDR4 512GB SSD, Quad-Core Intel N95 Processor, Windows 11 Laptop, 15.6"" IPS 1080P PC, Metal Shell, WiFi, BT5.0, USB3.2, Type_C, Long Battery Life, 180° Open Angle",acemagic,Intel,ddr4,SSD,15.6,1920.0,1080.0,1.6964340800000002,0,other,16,Intel,Windows,16,Laptop,Other,3.4,141.21199808219862
695,"Dell Inspiron 15 3000 Series 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 32GB DDR4 RAM, 1TB PCIe SSD, SD Card Reader, Webcam, HDMI, Wi-Fi, Windows 11 Home, Black",dell,Intel,ddr4,SSD,15.6,1920.0,1080.0,1.6964340800000002,0,Black,32,Intel,Windows,16,Laptop,Intel I5,1.0,141.21199808219862
